code,name
"134UK","UĞUR MUMCU - KARTAL"
"134YK","UĞUR MUMCU - YAKACIK - KARTAL"
"135A","ACARKENT / GÖRELE MAHALLESİ - KAVACIK"
"135G","TOKATKÖY - ÇAVUŞBAŞI"
"135K","KARLITEPE - ORTAÇEŞME"
"135T","ARKBOYU - TOKATKÖY"
"136B","TÜRK ALMAN ÜNİVERSİTESİ - KAVACIK/HEKİMBAŞI"
"136R","RİVA - KAVACIK"
"136T","TOYGAR / SULTANİYE - KAVACIK"
"136Z","ALİ BAHADIR / ZERZEVAT - SULTANİYE"
"138B","GÖLLÜ/ÖMERLİ-ÜMRANİYE"
"139A","ÜSKÜDAR - ŞİLE / AĞVA"
"139D","NECİP FAZIL METRO-DARLIK"
"139S","NECİP FAZIL METRO-SOFULAR KÖYÜ"
"139T","TEPEÜSTÜ - ŞİLE"
"13AB","KISIKLI - ATAŞEHİR / BOSTANCI"
"13B","YENİŞEHİR - KADIKÖY"
"13FY","BATI ATAŞEHİR / FİNANS MERKEZİ - MEVLANA METRO / FERHATPAŞA"
"13H","EVTAŞ BLOKLARI - ÜMRANİYE METRO / Ü.EĞT.ARŞ.HASTANESİ"
"13M","ŞERİFALİ - ÜSKÜDAR"
"13Y","ÇAKMAK MAHALLESİ / YENİSAHRA - KADIKÖY"
"141A","K.S.S. HASTANESİ- MEHMET AKİF ERSOY CAD"
"141K","K.S.S. HASTANESİ - MAHMUTBEY METRO"
"141M","K.S.S. HASTANESİ - MECİDİYEKÖY"
"142A","BOĞAZKÖY - AVCILAR METROBÜS"
"142B","K.S.S. HASTANESİ - BÜYÜKÇEKMECE"
"142E","ESENYURT KİPTAŞ 4. ETAP - AKSARAY"
"142ES","İ.Ü.CERRAHPAŞA KAMPÜS - AVCILAR METROBÜS"
"142F","YEŞİLKENT - AVCILAR METROBÜS"
"142K","ESENYURT KİPTAŞ 4.ETAP - AVCILAR METROBÜS"
"142T","TÜYAP METROBÜS-K.S.S HASTANESİ"
"144A","DELİKLİKAYA - AVCILAR METROBÜS"
"144B","DELİKLİKAYA - YEŞİLBAYIR KÖYÜ - SU ÜRÜNLERİ HALİ"
"144H","HEYBETLİ SOK./DELİKLİKAYA - HARAMİDERE"
"144K","ÖMERLİ KİPTAŞ-ESENKENT"
"144M","DELİKLİKAYA-MAHMUTBEY METRO"
"145M","BEYKENT - TAKSİM"
"145T","BEYLİKDÜZÜ - TAKSİM"
